razon_social_publicada,tipo_aparente,programa_publicado,programa_interno_csv,archivo_csv,anio,mes,fecha_otorgamiento,fecha_acto,numero_acto,monto_maximo_programa_clp,tipo_financiamiento
GRUPO CUNSA SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,julio,11-07-2025,11-07-2025,CER-D03-015081,5000000.0,subsidio directo
GRUPO CUNSA SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
Grupo Cunsa SPA,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
HIDROFLEX VICTORIA SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015196,5000000.0,subsidio directo
HIDROFLEX VICTORIA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015195,1200000.0,subsidio directo
HIDROPONIA ACONCAGUA SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,14-10-2025,14-10-2025,CER-D05-015322,9000000.0,subsidio directo
HIDROPONIA ACONCAGUA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,12-09-2025,12-09-2025,CER-D05-015237,1200000.0,subsidio directo
IKIGAI GASTRONOMIA Y SERVICIOS SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,16-10-2025,16-10-2025,CER-D16-015328,9000000.0,subsidio directo
IKIGAI GASTRONOMIA Y SERVICIOS SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,21-08-2025,21-08-2025,CER-D16-015157,1200000.0,subsidio directo
IMPORTADORA Y EXPORTADORA SUDAMERICANA LIMITADA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D01-015289,9000000.0,subsidio directo
IMPORTADORA Y EXPORTADORA SUDAMERICANA LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,octubre,01-10-2025,01-10-2025,CER-D01-015273,1200000.0,subsidio directo
INGENIERÍA SKYNAV SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,25-08-2025,25-08-2025,CER-D06-015179,5000000.0,subsidio directo
INGENIERÍA SKYNAV SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
INNOVACION Y GESTION TECNOLOGICA SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D01-015289,9000000.0,subsidio directo
INNOVACION Y GESTION TECNOLOGICA SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,octubre,01-10-2025,01-10-2025,CER-D01-015273,1200000.0,subsidio directo
IRON WORKS SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,10-10-2025,10-10-2025,CER-D04-015308,9000000.0,subsidio directo
IRON WORKS SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,08-09-2025,08-09-2025,CER-D04-015221,1200000.0,subsidio directo
ISLA DEL PUELO SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,24-10-2025,24-10-2025,CER-D10-015363,9000000.0,subsidio directo
